formula,space_group,formation_energy_per_atom
Pb3Ta,I4/mmm,0.7059161694290506
AlPd,P4/mmm,-0.22994197465041744
Ga12P17,I-43m,0.04345748951545035
Ni2Sb2,P4/nmm,-0.04581015541176647
MoTa2,I4/mmm,-0.15056032804927355
KSn3,P4/mmm,-0.17985660299820738
Fe2Ga2,I4_1/amd,0.12406485379649901
As3Br,P4mm,0.09748523084220162
FePt3,P4/mmm,0.16895106029083262
V2Br,I4/mmm,0.43205933426278875
Cr2Rh2,R-3m,0.6235414682612213
Fe12Mo17,I-43m,0.1109067026742717
Sr4Br8,Pnma,-2.1555202848237465
Mn4Sb5,I4/mmm,0.6126234421869883
Ba2Pd4,Cmcm,-0.42012776919336287
As4Br,I4/mmm,0.0467358917197771
AgAl3,I4/mmm,0.03228927701149109
CuIr,F-43m,1.7455088971045418
FeNa,Pm-3m,1.1342721190919103
Ba7Pd6,R-3m,0.15579849643496146
Ca12P12,Pbcm,-0.9428178993722339
Fe17Pb12,I-43m,1.2324810144787373
Al8Sn4,Pnma,0.16398145277071366
K8As,I4/mmm,-0.05186749542513899
In2Sn4,C2/m,0.001566859898249599
Ir4Ta2,Pnnm,-0.13605350710584338
V2Br,I4/mmm,0.4419066354074476
K2Sn,I4/mmm,-0.029219001371462678
Cu2In2,R-3m,0.2015220569592242
Ir4As12,Im-3,-0.42536219858306
Ag4Al3,I4/mmm,-0.01503156221367874
Mo2W4,C2/m,-0.0005864744588208737
CsNi,Amm2,1.1901183413278558
Ba2As4,I4_1/amd,-0.7628909404239513
BaBr2,I4/mmm,-2.1246359399750907
NaPd3,Cmmm,0.03543553529412691
K3Na,P4/mmm,0.00882930191361786
AsBr4,Im-3m,0.08273684214976776
CuNi,P-6m2,0.009496146860143995
Cr2Ta2,Imma,0.013315177222134267
Ba2V,I4/mmm,0.6647424311657275
Ni2Sn2,P4/nmm,-0.03865176741345078
Fe3Ga,P4/mmm,-0.081774550841752
Ag2Al,I4/mmm,-0.06205674735268948
AcRb,Fm-3m,0.9865484408082801
CrNa,Cmmm,0.9901028503581726
Ba3Ir,Fm-3m,0.338428116950626
Cu5Ge4,I4/mmm,0.14043881756061438
K4As2,I4_1/amd,-0.12326308615513781
SmBi,P-6m2,-1.0609019344514445
BaPd3,Immm,-0.16966758914493596
